,price,longitude,latitude,neighborhood
1198,1000,-73.9781,40.7443,Murray_Hill_Kips_Bay
1199,700,-73.8895,40.8633,Bedford_Park_Fordham_North
1200,1000,-73.7877,40.9166,None
1201,700,-73.8895,40.8633,Bedford_Park_Fordham_North
1202,1200,-73.923686,40.689308,Stuyvesant_Heights
1203,700,-73.9145,40.6625,Brownsville
1204,700,-73.9145,40.6625,Brownsville
1205,850,-73.8538,41.1673,None
1206,1025,-73.917067,40.70167,Bushwick_North
1207,700,-73.9145,40.6625,Brownsville
1208,700,-73.9145,40.6625,Brownsville
1209,760,-73.890599,40.864795,Bedford_Park_Fordham_North
1210,884,-74.0018,40.6521,Sunset_Park_East
1211,800,-73.84456899999998,40.902037,Woodlawn_Wakefield
1212,800,-73.84456899999998,40.902037,Woodlawn_Wakefield
1213,3000,-73.9265,40.7706,Old_Astoria
1214,1250,-73.9149,40.7627,Astoria
1215,1000,-73.935928,40.854667,Washington_Heights_North
1216,1175,-74.133865,40.62866,West_New_Brighton_New_Brighton_St__George
1217,900,-73.98333000000002,40.729095,East_Village
1218,1000,-73.964281,40.719103,North_Side_South_Side
1219,1325,-73.955176,40.672989,Crown_Heights_North
1220,1275,-74.011989,40.675733,Carroll_Gardens_Columbia_Street_Red_Hook
1221,700,-73.75227199999998,40.691471,St__Albans
1222,850,-73.742766,40.680957,Laurelton
1223,2500,-73.9498,40.7272,Greenpoint
1224,800,-73.9447,40.7918,East_Harlem_South
1225,700,-73.8739,40.7613,East_Elmhurst
1226,799,-74.1245,40.8094,None
1227,850,-73.8716,40.8295,Soundview_Bruckner
1228,975,-73.950764,40.636096,Flatbush
1229,1300,-73.9345,40.7446,Hunters_Point_Sunnyside_West_Maspeth
1230,825,-73.91109399999998,40.692316,Bushwick_North
1231,850,-73.9069,40.745,Woodside
1232,1000,-73.9496,40.6794,Crown_Heights_North
1233,1050,-73.956007,40.693899,Bedford
1234,1400,-73.4358,41.1222,None
1235,720,-73.9028,40.6407,Canarsie
1236,850,-73.8297,40.7069,Kew_Gardens
1237,1000,-73.922173,40.762238,Astoria
1238,1950,-73.972747,40.681193,Prospect_Heights
1239,600,-73.0861,41.308545,None
1240,598,-73.879165,40.657654,East_New_York
1241,950,-73.8495,40.8702,Allerton_Pelham_Gardens
1242,1025,-73.916702,40.701995,Bushwick_North
1243,1250,-73.989723,40.66914600000001,Park_Slope_Gowanus
1244,1200,-73.989723,40.66914600000001,Park_Slope_Gowanus
1245,1350,-73.991734,40.666736,Park_Slope_Gowanus
1246,800,-73.910926,40.676345,Ocean_Hill
1247,800,-73.910926,40.676345,Ocean_Hill
1248,1300,-73.9796,40.7262,Lower_East_Side
1249,900,-73.918,40.7006,Bushwick_North
1250,1800,-73.9781,40.7443,Murray_Hill_Kips_Bay
1251,1400,-73.942,40.8382,Washington_Heights_South
1252,950,-73.93248299999998,40.768372,Astoria
1253,740,-73.941351,40.834212,Washington_Heights_South
1254,1000,-73.918564,40.69663,Bushwick_North
1255,1500,-73.97350899999998,40.678639,Prospect_Heights
1256,1100,-73.9274,40.6907,Stuyvesant_Heights
1257,850,-73.8297,40.7069,Kew_Gardens
1258,800,-73.9796,40.7262,Lower_East_Side
1259,650,-73.9796,40.7262,Lower_East_Side
1260,1155,-73.8895,40.8633,Bedford_Park_Fordham_North
1261,650,-73.1811,41.1895,None
1262,650,-73.2163,41.1668,None
1263,870,-73.8473,40.7229,Forest_Hills
1264,1025,-73.917099,40.701583,Bushwick_North
1265,650,-73.85759300000002,40.886892,Williamsbridge_Olinville
1266,800,-73.836434,40.888935,Woodlawn_Wakefield
1267,1800,-73.981415,40.743013,Murray_Hill_Kips_Bay
1268,1025,-73.917164,40.701453,Bushwick_North
1269,550,-73.95066800000002,40.626929,Midwood
1270,1250,-73.9563,40.7095,North_Side_South_Side
1271,1675,-73.9781,40.7443,Murray_Hill_Kips_Bay
1272,1000,-73.9367,40.67,Crown_Heights_North
1273,780,-73.768243,41.035391,None
1274,1050,-73.956007,40.693899,Bedford
1275,1300,-73.950917,40.709823,East_Williamsburg
1276,2150,-73.779202,41.026131,None
1277,900,-73.918,40.7006,Bushwick_North
1278,1550,-73.9436,40.7012,Bedford
1279,1300,-73.944511,40.69315200000001,Bedford
1280,1100,-73.9507,40.8246,Hamilton_Heights
1281,1275,-73.9796,40.7262,Lower_East_Side
1282,750,-74.003443,40.640953,Sunset_Park_East
1283,850,-73.916117,40.682684,Ocean_Hill
1284,980,-73.95877,40.709327,North_Side_South_Side
1285,1150,-73.9496,40.6794,Crown_Heights_North
1286,1099,-73.942807,40.692358,Stuyvesant_Heights
1287,1099,-73.942807,40.692358,Stuyvesant_Heights
1288,1250,-73.9858,40.7651,Clinton
1289,875,-73.800187,40.733749,Pomonok_Flushing_Heights_Hillcrest
